,RiskPerformance
589,Bad
7726,Bad
48,Bad
2343,Bad
5336,Bad
6710,Good
5727,Bad
9430,Bad
2140,Bad
9918,Bad
4894,Good
8225,Bad
4408,Bad
6233,Good
2255,Bad
9668,Good
3037,Bad
2503,Good
3126,Good
9715,Good
6717,Good
3480,Good
5549,Good
481,Bad
1821,Bad
1578,Good
2693,Good
692,Bad
6157,Good
8954,Bad
9852,Good
4715,Good
1260,Bad
5,Bad
3501,Good
3110,Bad
6358,Bad
2887,Bad
8234,Bad
858,Good
9482,Bad
5357,Good
1380,Good
159,Bad
6649,Bad
4487,Bad
4990,Bad
7417,Bad
9801,Good
478,Bad
120,Good
6892,Good
3184,Good
9257,Good
156,Bad
9451,Bad
2245,Bad
9021,Good
1889,Good
3352,Good
10215,Bad
5505,Good
1913,Good
10282,Bad
10233,Bad
6319,Bad
2268,Bad
6213,Good
3960,Good
8510,Bad
5535,Good
8663,Good
4883,Bad
1116,Bad
9169,Bad
2524,Bad
1101,Bad
9195,Bad
3441,Good
5414,Bad
6116,Bad
7409,Bad
1573,Good
4677,Bad
2640,Bad
8907,Bad
8060,Good
6926,Good
6237,Good
7602,Bad
8748,Good
1677,Bad
1914,Bad
5886,Bad
1415,Bad
7571,Bad
2152,Bad
6532,Good
4165,Bad
2670,Bad
2491,Good
10440,Good
6597,Good
2263,Good
1207,Good
282,Bad
1812,Good
4451,Bad
2694,Bad
8064,Good
3630,Bad
3254,Good
5008,Bad
3942,Good
8043,Good
4679,Bad
8946,Bad
2995,Good
4210,Bad
7502,Bad
7752,Bad
5595,Good
5612,Bad
9049,Bad
493,Good
1189,Bad
3187,Good
5298,Bad
6442,Bad
8430,Bad
8514,Bad
5376,Bad
3956,Good
7555,Bad
2836,Bad
6435,Bad
7213,Good
936,Good
10027,Good
1442,Bad
3829,Good
5715,Bad
7460,Bad
2145,Bad
8529,Bad
1789,Good
363,Good
1768,Good
4150,Good
7120,Good
3917,Good
5333,Good
8229,Good
806,Good
7450,Bad
2264,Good
9291,Good
3275,Bad
10032,Good
8361,Bad
4212,Good
2291,Bad
193,Bad
1809,Bad
8719,Bad
7418,Bad
5458,Bad
291,Good
5719,Good
10085,Good
5126,Bad
1845,Bad
6354,Good
2467,Good
9587,Bad
3644,Good
4501,Bad
9910,Bad
3888,Good
2692,Bad
6323,Bad
7356,Good
9226,Bad
4452,Bad
6964,Good
4545,Bad
8495,Bad
8085,Good
8269,Bad
2794,Bad
10288,Good
5318,Bad
5851,Good
212,Bad
2005,Good
4811,Bad
7819,Good
1034,Bad
7865,Bad
7358,Bad
5745,Bad
2175,Bad
5484,Good
8522,Bad
4913,Bad
6758,Good
7295,Good
3115,Good
2580,Bad
7273,Bad
10036,Good
6831,Bad
4071,Bad
7578,Good
8680,Good
1095,Good
4048,Good
4313,Bad
5659,Bad
3410,Bad
2934,Good
9689,Good
4468,Bad
7377,Bad
178,Bad
5061,Bad
8494,Bad
637,Good
10364,Bad
9119,Bad
7363,Good
7688,Bad
9425,Bad
8707,Bad
7549,Bad
8791,Good
4774,Good
5564,Good
10232,Bad
4868,Bad
5615,Bad
7022,Good
8806,Good
3534,Good
7205,Good
2634,Bad
6006,Bad
6931,Good
10340,Good
4454,Bad
7700,Bad
7297,Bad
4123,Bad
9562,Bad
3568,Good
1636,Good
2441,Bad
8601,Good
8770,Bad
9367,Bad
8915,Bad
2193,Bad
5923,Good
1776,Bad
10239,Good
8853,Good
3200,Good
3517,Good
6071,Bad
2639,Good
9901,Bad
4914,Good
4910,Bad
8671,Good
7079,Good
912,Good
308,Good
4867,Bad
10045,Bad
7508,Bad
8404,Bad
7758,Bad
1236,Bad
3117,Good
3138,Bad
808,Good
9150,Bad
7525,Bad
2349,Good
10390,Good
9721,Bad
3161,Good
5969,Bad
5736,Bad
9419,Bad
164,Good
5265,Bad
5598,Good
9338,Good
6601,Good
8409,Good
2944,Bad
3152,Good
8576,Bad
1879,Bad
7238,Bad
148,Bad
1661,Bad
5021,Good
5293,Bad
7412,Bad
1602,Good
395,Bad
6292,Good
7169,Good
8202,Good
8480,Good
8233,Bad
9293,Good
1304,Good
7768,Bad
4553,Good
6579,Bad
9198,Bad
7244,Good
3089,Good
8865,Bad
6960,Good
977,Good
540,Bad
207,Good
9328,Good
6085,Good
8715,Bad
5768,Bad
4014,Good
10423,Good
5198,Good
8397,Good
9691,Bad
4171,Bad
7971,Good
8322,Good
498,Good
7251,Bad
7603,Bad
9990,Good
9626,Good
4559,Bad
4941,Good
5164,Good
2983,Good
7279,Bad
6699,Bad
7465,Bad
3108,Bad
3389,Good
9487,Bad
9885,Good
764,Bad
644,Good
6726,Good
2749,Bad
5149,Bad
6434,Bad
9750,Bad
7019,Good
6145,Good
8953,Bad
2310,Bad
6247,Bad
4695,Bad
6332,Bad
6544,Bad
3492,Good
2004,Good
7043,Bad
3100,Good
5868,Good
5085,Bad
7315,Bad
7154,Bad
2365,Bad
5807,Bad
8924,Bad
839,Good
1192,Bad
10280,Good
1310,Bad
3293,Good
6493,Bad
6641,Bad
9601,Good
7296,Good
10260,Good
5852,Bad
1890,Bad
836,Good
4576,Good
7838,Bad
1664,Bad
739,Good
8420,Bad
503,Bad
6460,Bad
6384,Good
8738,Good
5006,Good
5501,Bad
8481,Bad
8352,Bad
9984,Bad
434,Bad
7204,Good
2164,Bad
5819,Bad
3496,Bad
5910,Good
789,Good
6109,Bad
4091,Bad
1534,Bad
4608,Good
3285,Good
8143,Good
3002,Bad
6781,Good
5757,Bad
7931,Bad
9149,Bad
4757,Good
4852,Good
570,Bad
8900,Bad
3157,Good
3546,Bad
504,Bad
7413,Good
9849,Bad
7210,Bad
5258,Good
2824,Bad
6091,Good
4127,Bad
8808,Bad
1059,Bad
3162,Good
3148,Good
6273,Bad
7994,Good
3791,Good
7391,Good
6661,Bad
9641,Good
5720,Bad
162,Good
3531,Good
899,Good
4148,Bad
1822,Good
6527,Bad
6119,Good
9340,Good
357,Good
9098,Bad
8984,Good
3819,Good
1922,Bad
6787,Good
9193,Good
1470,Bad
1422,Bad
6224,Good
1035,Good
8640,Good
3361,Good
2033,Good
4809,Good
9657,Bad
2680,Bad
4947,Good
7077,Bad
1753,Good
7110,Bad
4192,Good
5282,Bad
6309,Good
8621,Good
190,Good
3817,Bad
7396,Bad
5389,Good
9450,Bad
7226,Good
7209,Bad
2953,Bad
6325,Good
4430,Bad
994,Good
7285,Bad
6572,Good
5181,Bad
9192,Bad
1327,Bad
8281,Bad
864,Good
8383,Bad
7597,Bad
2176,Bad
717,Bad
9369,Good
8033,Good
480,Bad
9590,Bad
6660,Bad
5137,Good
1594,Bad
5112,Good
8540,Good
8863,Bad
2790,Bad
3214,Bad
9065,Bad
5466,Bad
2950,Good
10254,Good
9787,Bad
5974,Good
1790,Good
6772,Bad
6177,Bad
1168,Good
2356,Good
8758,Bad
1048,Bad
2058,Bad
4057,Bad
1614,Bad
1122,Bad
7006,Bad
3344,Bad
691,Good
1551,Bad
3412,Good
52,Bad
5639,Bad
3024,Good
9850,Good
5234,Good
8778,Good
7325,Good
7035,Good
9187,Bad
8461,Good
7997,Good
5697,Bad
3656,Good
8609,Bad
2172,Bad
2124,Good
4570,Bad
1985,Bad
5379,Bad
1214,Good
7996,Good
6361,Bad
3047,Bad
860,Bad
10348,Good
4900,Good
6057,Bad
105,Bad
5500,Good
9911,Bad
6522,Bad
2470,Good
365,Bad
9857,Bad
6499,Bad
787,Good
170,Bad
5983,Bad
4869,Good
9571,Good
9086,Good
3005,Good
10367,Good
7669,Good
4499,Good
2821,Good
4429,Bad
1549,Bad
198,Bad
334,Good
9061,Good
2866,Bad
2531,Bad
9678,Good
3163,Good
261,Bad
3647,Good
9970,Good
6604,Good
561,Good
1903,Good
9201,Good
1592,Good
3438,Bad
2314,Bad
7375,Bad
2527,Good
4687,Good
5038,Good
9418,Bad
6580,Bad
7324,Bad
8279,Good
5690,Bad
7183,Good
104,Good
5494,Bad
6431,Good
5847,Bad
9660,Good
1706,Bad
9934,Bad
1353,Bad
5844,Good
8722,Bad
1557,Good
6048,Bad
5748,Good
7599,Good
30,Good
1785,Good
2671,Bad
2709,Bad
2708,Good
6603,Good
4016,Good
4152,Bad
4833,Good
9209,Bad
9880,Good
793,Good
2422,Bad
8902,Good
7731,Bad
4110,Bad
9649,Good
7814,Bad
2936,Good
3625,Good
5215,Bad
6713,Good
2508,Bad
1231,Good
4249,Bad
6141,Good
7885,Good
4373,Good
10073,Good
641,Bad
6981,Good
5299,Good
7913,Good
3302,Good
7898,Good
7526,Bad
4189,Bad
1152,Bad
10392,Good
3824,Good
1526,Good
5538,Bad
2316,Bad
9881,Good
5853,Bad
1806,Good
8010,Good
10355,Good
947,Good
4172,Bad
8173,Bad
4807,Bad
578,Good
6226,Good
983,Good
2451,Bad
2969,Bad
4934,Good
731,Bad
115,Bad
1459,Good
557,Bad
671,Good
9734,Good
4273,Bad
9873,Good
10125,Bad
8205,Bad
8092,Bad
8731,Bad
5073,Bad
6379,Bad
5653,Good
8558,Good
5186,Good
8771,Bad
5680,Good
9975,Bad
2294,Bad
295,Bad
4968,Good
3131,Bad
10222,Bad
9537,Bad
9690,Good
5245,Bad
8579,Bad
7894,Good
9639,Bad
9623,Good
2924,Bad
9263,Good
8314,Good
3750,Bad
6140,Bad
225,Bad
5630,Good
8762,Good
5098,Good
2479,Bad
6832,Bad
10065,Bad
5082,Good
8999,Bad
772,Good
4219,Good
1972,Good
1077,Good
9617,Good
8410,Good
6967,Good
9044,Good
7960,Bad
8224,Bad
2994,Good
5990,Bad
2199,Bad
3540,Good
4820,Bad
7225,Bad
2039,Good
1628,Good
6074,Good
9053,Bad
7292,Bad
1043,Bad
7491,Bad
4931,Good
6013,Good
8690,Good
8186,Bad
2577,Good
6779,Bad
9314,Good
1731,Bad
1416,Bad
1828,Bad
4409,Good
9233,Good
388,Bad
1915,Bad
520,Good
3386,Good
9536,Good
4856,Bad
79,Good
5312,Bad
1331,Good
6018,Bad
4309,Bad
1857,Bad
6922,Bad
3946,Good
2724,Bad
9439,Good
7486,Bad
3991,Good
3449,Good
7431,Good
6173,Good
6318,Bad
4697,Bad
4861,Good
8817,Bad
7906,Good
7754,Bad
1134,Bad
342,Good
7441,Good
7199,Good
9564,Good
6146,Good
8212,Bad
9323,Good
7812,Bad
7271,Bad
3172,Good
7434,Bad
3542,Bad
6625,Good
2093,Good
167,Good
931,Good
9380,Good
1052,Good
5967,Good
8659,Good
8880,Bad
3396,Good
7840,Good
2254,Good
3379,Good
9449,Bad
5591,Bad
9566,Good
916,Good
8061,Good
9653,Good
1525,Bad
6458,Good
5740,Bad
3934,Good
1697,Good
6560,Bad
8799,Good
3854,Good
6965,Good
7936,Good
299,Good
10124,Good
4637,Good
5047,Bad
4355,Bad
1429,Bad
5802,Bad
9296,Good
1851,Bad
3808,Good
9514,Good
7797,Bad
407,Good
6932,Bad
4001,Bad
5656,Good
8858,Bad
2683,Good
2746,Bad
3536,Good
4138,Bad
2248,Bad
10038,Bad
7161,Bad
1694,Bad
5450,Bad
8311,Good
7641,Bad
5014,Good
3844,Good
10078,Bad
720,Bad
1065,Good
1624,Good
3229,Good
5178,Bad
2274,Good
9803,Good
3186,Bad
305,Bad
5475,Good
6689,Good
9412,Bad
3814,Good
2844,Good
8058,Good
4707,Bad
7065,Good
862,Good
4457,Bad
6695,Bad
5342,Bad
10328,Good
1990,Bad
2324,Bad
7713,Good
9421,Bad
3056,Bad
9468,Good
4037,Good
3073,Good
9097,Bad
77,Bad
4494,Bad
9953,Bad
4092,Bad
10277,Good
3485,Bad
4720,Good
2955,Bad
2400,Bad
6896,Good
2054,Bad
7466,Bad
6501,Bad
7011,Good
2723,Bad
4793,Bad
8032,Good
1979,Bad
2122,Bad
6271,Good
3250,Good
5002,Bad
7983,Good
4413,Good
8829,Good
8631,Good
3529,Good
9060,Bad
877,Good
569,Bad
2805,Good
9238,Good
3856,Good
3220,Bad
9384,Good
5216,Good
10083,Bad
4554,Good
6111,Good
9420,Bad
1626,Good
2959,Bad
6795,Bad
8053,Bad
576,Bad
8988,Bad
3941,Bad
6230,Good
3168,Bad
6808,Bad
2419,Bad
6864,Good
2279,Bad
6320,Bad
1507,Good
3816,Good
9665,Bad
6655,Bad
5590,Bad
6008,Good
1954,Bad
2372,Good
5037,Bad
4878,Good
3007,Bad
3027,Good
1246,Bad
4453,Bad
6709,Bad
5172,Bad
760,Good
4566,Bad
1674,Bad
5508,Bad
8572,Bad
10020,Bad
1126,Bad
7916,Bad
6614,Good
771,Good
10008,Bad
2700,Bad
2472,Bad
7932,Good
1249,Bad
3084,Good
4300,Bad
5278,Bad
4528,Bad
714,Good
6812,Good
4905,Good
5235,Good
1567,Good
7522,Good
8774,Good
1799,Bad
5581,Bad
1475,Good
4020,Bad
6541,Bad
8656,Good
8678,Bad
1634,Good
7755,Bad
10400,Good
3096,Bad
5461,Bad
9003,Good
141,Bad
5238,Good
1826,Bad
7569,Bad
6130,Good
5498,Good
9780,Good
8363,Bad
320,Good
6164,Good
7803,Good
2169,Bad
3450,Bad
3914,Good
2857,Bad
3762,Good
8819,Bad
9778,Bad
8895,Bad
1319,Bad
7146,Bad
1198,Bad
7911,Good
901,Good
2434,Bad
6663,Bad
7025,Good
6920,Bad
7202,Bad
3375,Bad
6718,Good
5064,Bad
9896,Good
338,Good
5663,Bad
6754,Good
2867,Bad
7139,Bad
2230,Good
9126,Bad
9720,Good
6049,Bad
10217,Good
2286,Bad
5046,Bad
5228,Bad
10293,Good
4146,Bad
8365,Bad
9724,Good
9219,Bad
2228,Bad
9692,Good
6524,Good
4398,Bad
10111,Good
6870,Bad
5747,Bad
4978,Good
7214,Bad
889,Good
266,Good
9075,Bad
9151,Good
10187,Bad
3189,Bad
7630,Bad
9103,Good
3337,Bad
7114,Bad
8935,Bad
7683,Good
1005,Bad
3763,Good
9433,Bad
8475,Bad
8175,Good
9989,Good
8316,Good
8376,Bad
9553,Good
4967,Bad
10055,Good
1502,Good
7800,Bad
1171,Bad
2401,Bad
5116,Good
5134,Good
3753,Good
5940,Good
2346,Bad
5444,Good
2251,Bad
9811,Bad
1086,Good
2402,Good
1591,Bad
10420,Bad
3638,Bad
6120,Bad
6764,Bad
7576,Good
1506,Bad
7456,Good
7844,Bad
5841,Good
1849,Bad
9436,Bad
8975,Bad
15,Bad
7717,Bad
5295,Bad
7798,Bad
9785,Bad
9786,Bad
9029,Bad
8569,Good
3986,Good
4604,Bad
5672,Bad
9616,Good
1746,Bad
7082,Good
6980,Bad
6684,Bad
9764,Bad
2610,Good
5370,Bad
7351,Bad
1328,Bad
5678,Bad
9290,Good
1206,Bad
9373,Good
9444,Bad
9948,Good
1554,Bad
6301,Bad
643,Good
10179,Good
303,Bad
1846,Bad
7160,Bad
9363,Good
10082,Good
9886,Bad
4045,Good
9866,Bad
5177,Good
9165,Good
4476,Bad
3288,Good
418,Bad
9835,Bad
7086,Good
2300,Bad
8332,Good
6418,Good
5513,Good
2059,Bad
7763,Good
7530,Bad
805,Good
1093,Good
8926,Good
9947,Good
8679,Bad
2979,Bad
6383,Bad
4728,Good
2563,Good
474,Good
3132,Good
8788,Bad
631,Bad
1969,Bad
3645,Bad
559,Good
6978,Good
8280,Bad
93,Bad
3953,Bad
3813,Bad
1199,Good
5677,Bad
1312,Bad
7802,Good
8930,Good
3159,Bad
598,Good
2180,Bad
6377,Bad
9448,Bad
6245,Bad
2095,Good
8372,Good
7074,Good
9115,Bad
7942,Good
5416,Good
5708,Bad
6353,Bad
6347,Bad
2603,Bad
7830,Bad
1305,Bad
9979,Good
4513,Bad
6483,Bad
150,Bad
2126,Bad
3965,Good
9840,Bad
8002,Good
6872,Good
8418,Bad
9476,Bad
5203,Bad
9040,Bad
7472,Bad
9464,Bad
1096,Bad
6720,Good
9773,Bad
1489,Bad
3980,Good
2486,Bad
9352,Good
5268,Bad
5314,Good
4956,Good
5781,Good
3151,Good
10312,Good
8765,Bad
1241,Bad
9952,Bad
7329,Good
5801,Bad
7687,Good
3977,Good
10443,Good
7610,Bad
2737,Good
3469,Good
8065,Good
502,Bad
600,Good
8411,Bad
811,Good
8157,Good
9642,Bad
9077,Bad
5197,Good
6475,Bad
3862,Good
3692,Good
5152,Good
2765,Good
8837,Good
7674,Bad
9535,Good
10156,Good
8354,Good
7756,Bad
10236,Bad
7433,Bad
1464,Good
2744,Bad
5123,Good
5011,Good
7546,Bad
231,Good
4734,Bad
5144,Bad
472,Bad
6621,Bad
377,Good
8438,Bad
3640,Good
1216,Bad
814,Good
3744,Bad
43,Bad
7473,Good
7646,Bad
6357,Bad
2483,Bad
9106,Bad
2943,Bad
715,Good
9704,Good
33,Good
9259,Good
7746,Bad
1299,Bad
3099,Good
6512,Bad
5608,Good
8552,Good
419,Good
3845,Good
4239,Good
2423,Bad
3548,Good
2657,Good
750,Good
5400,Bad
8891,Bad
6773,Good
1977,Bad
8980,Bad
5511,Good
7088,Bad
6637,Bad
4580,Bad
10330,Good
2024,Bad
928,Bad
4459,Bad
4598,Bad
8708,Bad
8209,Bad
5885,Good
1859,Good
151,Bad
8256,Good
7507,Bad
8931,Good
7283,Bad
5716,Good
6890,Good
1884,Good
1605,Bad
6506,Bad
1850,Bad
4352,Bad
5735,Bad
8017,Good
7235,Bad
8761,Bad
3541,Bad
9327,Good
7217,Bad
3150,Good
5319,Good
7672,Bad
10043,Good
8957,Bad
567,Good
926,Good
1481,Bad
1074,Good
4555,Bad
4770,Good
7505,Bad
4135,Good
1936,Bad
1215,Bad
8491,Bad
6415,Bad
4926,Good
3262,Bad
581,Good
2375,Bad
4682,Good
1097,Bad
949,Good
24,Bad
10375,Good
4266,Bad
5182,Bad
9978,Good
7340,Bad
3772,Bad
7553,Bad
350,Good
7533,Bad
741,Bad
6115,Bad
7419,Good
8783,Bad
3286,Bad
5504,Good
2728,Good
10117,Bad
186,Bad
8223,Bad
1627,Bad
9635,Bad
8725,Bad
4938,Good
10122,Bad
3878,Bad
1085,Bad
3587,Good
8597,Good
211,Good
6284,Good
8528,Bad
7794,Good
4773,Good
7147,Bad
2783,Bad
8825,Good
3555,Bad
10251,Good
514,Bad
908,Good
9631,Bad
6178,Bad
2919,Bad
6260,Good
6839,Good
2458,Bad
9757,Good
2104,Good
6050,Good
6413,Good
4075,Bad
6633,Bad
2679,Bad
786,Good
974,Good
5717,Good
1964,Good
3859,Good
4393,Good
1948,Bad
7732,Good
9841,Good
9345,Good
4264,Bad
372,Bad
1582,Bad
3417,Good
7774,Bad
921,Good
1289,Bad
50,Bad
4817,Bad
2569,Bad
1474,Good
3287,Good
3612,Good
7590,Bad
6370,Bad
1377,Good
4920,Good
6424,Bad
1987,Bad
6886,Good
8903,Good
2233,Bad
4993,Good
7595,Bad
8015,Good
10035,Bad
9551,Bad
4251,Bad
956,Bad
522,Bad
17,Bad
1418,Bad
8163,Good
775,Good
4890,Good
5526,Good
5301,Bad
1242,Bad
8644,Bad
9893,Good
8692,Bad
9521,Bad
3840,Good
8232,Bad
10412,Good
1262,Bad
7764,Good
2315,Bad
4147,Bad
8382,Good
10158,Good
7699,Good
2553,Good
9154,Bad
5624,Bad
5257,Bad
8373,Bad
9900,Bad
1041,Good
3523,Bad
3825,Good
2826,Bad
237,Good
4884,Bad
6930,Good
8846,Good
5057,Bad
510,Bad
6180,Good
2507,Bad
8607,Good
4855,Good
10398,Good
4470,Bad
535,Good
1861,Bad
8536,Good
8483,Bad
7212,Bad
6425,Bad
7123,Good
5415,Good
3093,Good
3316,Bad
9912,Good
10000,Bad
2231,Bad
1361,Bad
1658,Bad
6802,Good
7538,Good
5760,Good
3841,Good
9387,Good
5493,Bad
2191,Bad
5770,Bad
1515,Good
9277,Bad
1018,Bad
3169,Bad
5703,Good
2183,Bad
10389,Good
4650,Bad
6887,Bad
8996,Bad
6840,Good
5343,Bad
4331,Bad
9493,Bad
8445,Bad
6780,Good
6810,Good
9346,Good
10407,Good
10370,Bad
2147,Bad
1540,Bad
1284,Bad
4013,Good
1325,Bad
6744,Good
3949,Good
611,Good
9016,Bad
5460,Bad
5954,Good
1243,Bad
897,Bad
5486,Good
4128,Good
9524,Good
6305,Good
3394,Bad
1832,Bad
3756,Bad
304,Bad
2793,Bad
9812,Good
5391,Good
1912,Bad
5373,Bad
904,Bad
5783,Bad
1603,Bad
8259,Good
6796,Bad
7650,Bad
277,Bad
10313,Good
2239,Bad
5553,Good
276,Bad
6344,Bad
2317,Good
7470,Good
3993,Good
1434,Good
1060,Good
8155,Good
6715,Good
6876,Good
8871,Good
7827,Good
5918,Good
9204,Bad
1407,Good
8215,Bad
6003,Good
3602,Good
2556,Bad
7395,Good
4813,Good
3713,Bad
1860,Bad
6883,Bad
8113,Good
6473,Bad
10228,Good
2895,Good
5161,Bad
3613,Good
10243,Good
165,Bad
10413,Bad
6027,Bad
5561,Good
2196,Bad
9547,Bad
5255,Bad
6367,Bad
5714,Good
2002,Bad
6594,Bad
